weekly_rents_per_bedroom,latitude,longitude,distance_to_CBD,bedrooms
97,51.46225,-0.11732,6498.04281,1
40,51.56802,-0.11121,6791.578189,1
75,51.48796,-0.16898,4270.2561,1
102.33,51.52195,-0.14094,754.2410445,3
150,51.47935,-0.19743,7347.280118,1
29,51.57224,-0.20906,9790.190099,1
65,51.46507,-0.32421,21019.93208,1
65,51.47934,-0.28066,15931.81263,3
72,51.58461,-0.1617,8019.685312,1
80,51.53972,-0.05885,9633.127131,1
70,51.46871,-0.06455,10042.4176,1
65,51.4194,-0.08722,12272.60372,1
65,51.49995,-0.02624,12978.59223,1
58,51.50687,-0.23328,10197.69482,1
40,51.50819,-0.23284,10136.56342,5
45,51.5873,-0.08606,10140.24417,1
42,51.47871,-0.06063,9913.262448,1
42,51.52589,-0.19942,6498.787097,1
45,51.5886,-0.08805,10122.2694,1
29,51.57375,-0.2089,9886.307273,1
90,51.61648,-0.25788,17113.84265,2
42,51.49157,-0.256,12951.76768,1
37,51.55842,0.00382,16905.30442,1
50,51.49441,-0.20479,7361.156564,1
125,51.50803,-0.21599,8271.520671,1
38,51.48172,-0.20957,8391.970573,1
90,51.53033,-0.21734,8548.87357,1
65,51.47511,-0.19263,7188.047274,1
55,51.47612,-0.19183,7048.663982,1
29,51.59554,-0.24187,14253.31635,1
40,51.55224,-0.19964,7620.347623,1
125,51.51737,-0.19576,5987.74197,1
160,51.53604,0.0194,18090.06439,1
85,51.48055,-0.18238,5923.60949,1
35,51.5297,-0.14384,1621.17691,1
78,51.49506,-0.2275,9773.550789,1
121,51.51757,-0.19195,5565.434404,1
40,51.54811,-0.19563,6998.616455,1
68,51.47246,-0.12727,5029.612301,1
28,51.37438,-0.1177,15893.6937,2
63,51.49355,-0.22864,9936.388072,1
35,51.39998,-0.10548,13443.00778,1
70,51.52404,-0.18494,4879.000988,1
43,51.52126,-0.05696,9474.449461,1
49,51.56093,0.06692,23774.73563,1
55,51.55942,0.06846,23906.98504,1
129,51.49946,-0.01934,13746.44105,1
57,51.49402,-0.22724,9772.693494,1
45,51.52053,-0.20968,7553.814633,1
75,51.48624,-0.09624,6019.799709,1
99,51.4796,-0.09821,6274.265508,1
80,51.45971,-0.12008,6636.700794,1
60,51.49404,-0.22738,9787.264874,1
129,51.49625,-0.15497,2560.320509,1
76,51.54117,-0.05867,9699.025691,1
25,51.60202,-0.26139,16415.97005,1
62,51.56131,0.06822,23924.98154,1
36,51.59016,-0.09427,9874.597885,1
55,51.54049,-0.04916,10693.208,2
148,51.52216,-0.13859,855.2216601,1
40,51.59583,-0.14223,8960.896506,2
48,51.48064,-0.11439,4919.146254,1
42.5,51.46193,-0.11085,6863.228605,2
103.5,51.49389,-0.20418,7315.366911,4
100,51.52423,-0.18481,4869.131992,2
42,51.57157,0.01088,18111.70123,1
34,51.46452,-0.0797,8929.071598,1
