latitude,longitude,latitude_CBD,longitude_CBD,distance_to_CBD,rents per bedroom/week
51.47973,-0.22205,51.515243,-0.141953,9742.537071,$17.00 
51.53388,-0.03467,51.515243,-0.141953,12107.99643,$18.00 
51.43019,-0.05936,51.515243,-0.141953,13182.87318,$20.00 
51.38586,-0.12563,51.515243,-0.141953,14500.74868,$20.00 
51.62252,-0.15875,51.515243,-0.141953,12073.95681,$20.00 
51.40616,-0.12063,51.515243,-0.141953,12359.02172,$21.25 
51.47374,-0.05673,51.515243,-0.141953,10540.35727,$22.00 
51.51919,-0.21426,51.515243,-0.141953,8052.146217,$22.50 
51.41379,-0.18044,51.515243,-0.141953,12065.48121,$23.00 
51.44259,-0.04576,51.515243,-0.141953,13404.20898,$24.00 
51.50815,-0.26464,51.515243,-0.141953,13664.96007,$25.00 
51.46782,-0.02823,51.515243,-0.141953,13700.8576,$25.00 
51.46818,-0.02812,51.515243,-0.141953,13696.80329,$25.00 
51.54173,-0.02881,51.515243,-0.141953,12921.07841,$25.00 
51.55712,-0.04184,51.515243,-0.141953,12066.72965,$25.00 
51.52871,-0.04137,51.515243,-0.141953,11284.12822,$25.00 
51.48106,-0.25897,51.515243,-0.141953,13555.501,$26.00 
51.42738,-0.07867,51.515243,-0.141953,12040.23114,$27.50 
51.60477,-0.12547,51.515243,-0.141953,10122.24768,$27.67 
51.42864,-0.15701,51.515243,-0.141953,9774.246724,$29.00 
51.43027,-0.12881,51.515243,-0.141953,9560.902914,$29.00 
51.54025,-0.25375,51.515243,-0.141953,12738.45676,$29.00 
51.46635,-0.03985,51.515243,-0.141953,12587.91546,$29.00 
51.46788,-0.09993,51.515243,-0.141953,7040.653874,$30.00 
51.44553,-0.13773,51.515243,-0.141953,7765.924161,$30.00 
51.56056,-0.04762,51.515243,-0.141953,11636.93966,$30.00 
51.47878,-0.0404,51.515243,-0.141953,11998.01819,$30.00 
51.46434,-0.23728,51.515243,-0.141953,12016.42295,$30.00 
51.51412,-0.01437,51.515243,-0.141953,14187.14079,$30.00 
51.48163,-0.02756,51.515243,-0.141953,13257.68573,$30.00 
51.41502,-0.15994,51.515243,-0.141953,11322.30657,$30.00 
51.44327,-0.18044,51.515243,-0.141953,9075.385563,$30.00 
51.44869,-0.18116,51.515243,-0.141953,8589.010156,$30.00 
51.45744,-0.18707,51.515243,-0.141953,8153.478703,$30.00 
51.48241,-0.18619,51.515243,-0.141953,6125.730916,$30.00 
51.45511,-0.10869,51.515243,-0.141953,7641.282492,$32.00 
51.43263,-0.06485,51.515243,-0.141953,12565.41425,$32.00 
51.50334,-0.01386,51.515243,-0.141953,14304.66391,$32.00 
51.55492,-0.03596,51.515243,-0.141953,12584.59155,$32.00 
51.46516,-0.07212,51.515243,-0.141953,9555.623913,$32.00 
51.46452,-0.0797,51.515243,-0.141953,8929.071598,$34.00 
51.5333,-0.03032,51.515243,-0.141953,12574.37045,$34.00 
51.40564,-0.09244,51.515243,-0.141953,13373.16825,$34.00 
51.39959,-0.07871,51.515243,-0.141953,14657.19967,$34.00 
51.53834,-0.0232,51.515243,-0.141953,13452.18038,$34.00 
51.47275,-0.12192,51.515243,-0.141953,5223.760531,$34.00 
51.4649,-0.07362,51.515243,-0.141953,9437.705934,$34.20 
51.48152,-0.18193,51.515243,-0.141953,5815.604398,$35.00 
51.51463,-0.05797,51.515243,-0.141953,9338.738146,$35.00 
